74.png	frowning face with open mouth	😦️	\U0001F626\U0000FE0F	U+1F626	frowning face with open mouth
75.png	anguished face	😧️	\U0001F627\U0000FE0F	U+1F627	anguished face
76.png	fearful face	😨️	\U0001F628\U0000FE0F	U+1F628	fearful face
77.png	anxious face with sweat	😰️	\U0001F630\U0000FE0F	U+1F630	anxious face with sweat
78.png	sad but relieved face	😥️	\U0001F625\U0000FE0F	U+1F625	sad but relieved face
79.png	crying face	😢️	\U0001F622\U0000FE0F	U+1F622	crying face
80.png	loudly crying face	😭️	\U0001F62D\U0000FE0F	U+1F62D	loudly crying face
81.png	face screaming in fear	😱️	\U0001F631\U0000FE0F	U+1F631	face screaming in fear
82.png	confounded face	😖️	\U0001F616\U0000FE0F	U+1F616	confounded face
83.png	persevering face	😣️	\U0001F623\U0000FE0F	U+1F623	persevering face
84.png	disappointed face	😞️	\U0001F61E\U0000FE0F	U+1F61E	disappointed face
85.png	downcast face with sweat	😓️	\U0001F613\U0000FE0F	U+1F613	downcast face with sweat
86.png	weary face	😩️	\U0001F629\U0000FE0F	U+1F629	weary face
87.png	tired face	😫️	\U0001F62B\U0000FE0F	U+1F62B	tired face
88.png	yawning face	🥱️	\U0001F971\U0000FE0F	U+1F971	yawning face
89.png	face with steam from nose	😤️	\U0001F624\U0000FE0F	U+1F624	face with steam from nose
90.png	pouting face	😡️	\U0001F621\U0000FE0F	U+1F621	pouting face
91.png	angry face	😠️	\U0001F620\U0000FE0F	U+1F620	angry face
92.png	face with symbols on mouth	🤬️	\U0001F92C\U0000FE0F	U+1F92C	face with symbols on mouth
93.png	smiling face with horns	😈️	\U0001F608\U0000FE0F	U+1F608	smiling face with horns
94.png	angry face with horns	👿️	\U0001F47F\U0000FE0F	U+1F47F	angry face with horns
95.png	skull	💀️	\U0001F480\U0000FE0F	U+1F480	skull
96.png	skull and crossbones	☠️	\U00002620\U0000FE0F	U+2620	skull and crossbones
97.png	pile of poo	💩️	\U0001F4A9\U0000FE0F	U+1F4A9	pile of poo
98.png	clown face	🤡️	\U0001F921\U0000FE0F	U+1F921	clown face
99.png	ogre	👹️	\U0001F479\U0000FE0F	U+1F479	ogre
100.png	goblin	👺️	\U0001F47A\U0000FE0F	U+1F47A	goblin
101.png	ghost	👻️	\U0001F47B\U0000FE0F	U+1F47B	ghost
102.png	alien	👽️	\U0001F47D\U0000FE0F	U+1F47D	alien
103.png	alien monster	👾️	\U0001F47E\U0000FE0F	U+1F47E	alien monster
104.png	robot	🤖️	\U0001F916\U0000FE0F	U+1F916	robot
105.png	grinning cat	😺️	\U0001F63A\U0000FE0F	U+1F63A	grinning cat
106.png	grinning cat with smiling eyes	😸️	\U0001F638\U0000FE0F	U+1F638	grinning cat with smiling eyes
107.png	cat with tears of joy	😹️	\U0001F639\U0000FE0F	U+1F639	cat with tears of joy
108.png	smiling cat with heart-eyes	😻️	\U0001F63B\U0000FE0F	U+1F63B	smiling cat with heart-eyes
109.png	cat with wry smile	😼️	\U0001F63C\U0000FE0F	U+1F63C	cat with wry smile
110.png	kissing cat	😽️	\U0001F63D\U0000FE0F	U+1F63D	kissing cat
111.png	weary cat	🙀️	\U0001F640\U0000FE0F	U+1F640	weary cat
112.png	crying cat	😿️	\U0001F63F\U0000FE0F	U+1F63F	crying cat
113.png	pouting cat	😾️	\U0001F63E\U0000FE0F	U+1F63E	pouting cat
114.png	see-no-evil monkey	🙈️	\U0001F648\U0000FE0F	U+1F648	see-no-evil monkey
115.png	hear-no-evil monkey	🙉️	\U0001F649\U0000FE0F	U+1F649	hear-no-evil monkey
116.png	speak-no-evil monkey	🙊️	\U0001F64A\U0000FE0F	U+1F64A	speak-no-evil monkey
117.png	kiss mark	💋️	\U0001F48B\U0000FE0F	U+1F48B	kiss mark
118.png	love letter	💌️	\U0001F48C\U0000FE0F	U+1F48C	love letter
119.png	heart with arrow	💘️	\U0001F498\U0000FE0F	U+1F498	heart with arrow
120.png	heart with ribbon	💝️	\U0001F49D\U0000FE0F	U+1F49D	heart with ribbon
121.png	sparkling heart	💖️	\U0001F496\U0000FE0F	U+1F496	sparkling heart
122.png	growing heart	💗️	\U0001F497\U0000FE0F	U+1F497	growing heart
123.png	beating heart	💓️	\U0001F493\U0000FE0F	U+1F493	beating heart
124.png	revolving hearts	💞️	\U0001F49E\U0000FE0F	U+1F49E	revolving hearts
125.png	two hearts	💕️	\U0001F495\U0000FE0F	U+1F495	two hearts
126.png	heart decoration	💟️	\U0001F49F\U0000FE0F	U+1F49F	heart decoration
127.png	heart exclamation	❣️	\U00002763\U0000FE0F	U+2763	heart exclamation
128.png	broken heart	💔️	\U0001F494\U0000FE0F	U+1F494	broken heart
129.png	red heart	❤️	\U00002764\U0000FE0F	U+2764	red heart
130.png	orange heart	🧡️	\U0001F9E1\U0000FE0F	U+1F9E1	orange heart
131.png	yellow heart	💛️	\U0001F49B\U0000FE0F	U+1F49B	yellow heart
132.png	green heart	💚️	\U0001F49A\U0000FE0F	U+1F49A	green heart
133.png	blue heart	💙️	\U0001F499\U0000FE0F	U+1F499	blue heart
134.png	purple heart	💜️	\U0001F49C\U0000FE0F	U+1F49C	purple heart
135.png	brown heart	🤎️	\U0001F90E\U0000FE0F	U+1F90E	brown heart
136.png	black heart	🖤️	\U0001F5A4\U0000FE0F	U+1F5A4	black heart
137.png	white heart	🤍️	\U0001F90D\U0000FE0F	U+1F90D	white heart
138.png	hundred points	💯️	\U0001F4AF\U0000FE0F	U+1F4AF	hundred points
139.png	anger symbol	💢️	\U0001F4A2\U0000FE0F	U+1F4A2	anger symbol
140.png	collision	💥️	\U0001F4A5\U0000FE0F	U+1F4A5	collision
141.png	dizzy	💫️	\U0001F4AB\U0000FE0F	U+1F4AB	dizzy
142.png	sweat droplets	💦️	\U0001F4A6\U0000FE0F	U+1F4A6	sweat droplets
143.png	dashing away	💨️	\U0001F4A8\U0000FE0F	U+1F4A8	dashing away
144.png	hole	🕳️	\U0001F573\U0000FE0F	U+1F573	hole
145.png	bomb	💣️	\U0001F4A3\U0000FE0F	U+1F4A3	bomb
146.png	speech balloon	💬️	\U0001F4AC\U0000FE0F	U+1F4AC	speech balloon
147.png	eye in speech bubble	👁️‍🗨️️	\U0001F441\U0000FE0F\U0000200D\U0001F5E8\U0000FE0F\U0000FE0F	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F	eye in speech bubble
148.png	left speech bubble	🗨️	\U0001F5E8\U0000FE0F	U+1F5E8	left speech bubble
149.png	right anger bubble	🗯️	\U0001F5EF\U0000FE0F	U+1F5EF	right anger bubble
150.png	thought balloon	💭️	\U0001F4AD\U0000FE0F	U+1F4AD	thought balloon
151.png	zzz	💤️	\U0001F4A4\U0000FE0F	U+1F4A4	zzz
